,Episode,Epsilon Value,gamma,alpha,epsilon,epsilon_min,epsilon_decay,batch_size,C,Memory Size,Rewards,Wall Time
0,0.0,0.999,0.99,0.00025,0.999,0.1,0.001,500.0,1000.0,100000.0,1.0,-0.4478132724761963
1,1.0,0.998,0.99,0.00025,0.998,0.1,0.001,500.0,1000.0,100000.0,4.0,-1.1172428131103516
2,2.0,0.997,0.99,0.00025,0.997,0.1,0.001,500.0,1000.0,100000.0,2.0,-188.4603455066681
3,3.0,0.996,0.99,0.00025,0.996,0.1,0.001,500.0,1000.0,100000.0,0.0,-339.93187260627747
4,4.0,0.995,0.99,0.00025,0.995,0.1,0.001,500.0,1000.0,100000.0,0.0,-493.0339105129242
5,5.0,0.994,0.99,0.00025,0.994,0.1,0.001,500.0,1000.0,100000.0,3.0,-773.6983363628387
6,6.0,0.993,0.99,0.00025,0.993,0.1,0.001,500.0,1000.0,100000.0,0.0,-932.452630519867
7,7.0,0.992,0.99,0.00025,0.992,0.1,0.001,500.0,1000.0,100000.0,0.0,-1089.0945053100586
8,8.0,0.991,0.99,0.00025,0.991,0.1,0.001,500.0,1000.0,100000.0,1.0,-1265.9025213718414
9,9.0,0.99,0.99,0.00025,0.99,0.1,0.001,500.0,1000.0,100000.0,5.0,-1681.549297094345
10,10.0,0.989,0.99,0.00025,0.989,0.1,0.001,500.0,1000.0,100000.0,3.0,-2015.5356879234314
